file,class,method,variable,usage
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/SalesController.java,sales.SalesController,"getSaleViews/2[sales.Context,java.lang.String]",homeSales,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/ViewStats.java,sales.ViewStats,getViewCount/0,viewCount,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/ViewStats.java,sales.ViewStats,"ViewStats/2[java.lang.String,int]",id,3
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/ViewStats.java,sales.ViewStats,"ViewStats/2[java.lang.String,int]",viewCount,3
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/ViewStats.java,sales.ViewStats,incrementViewCount/0,viewCount,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/ViewStats.java,sales.ViewStats,getId/0,id,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/SalesDAO.java,sales.SalesDAO,newSale/1[sales.HomeSale],DB_URL,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/SalesDAO.java,sales.SalesDAO,incrementViews/1[java.lang.String],DB_URL,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/SalesDAO.java,sales.SalesDAO,getSaleById/1[java.lang.String],DB_URL,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/SalesDAO.java,sales.SalesDAO,getViewStats/1[java.lang.String],DB_URL,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/SalesDAO.java,sales.SalesDAO,"getSalesBypurchasePrice/2[java.lang.String,java.lang.String]",DB_URL,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/SalesDAO.java,sales.SalesDAO,getSalesByarea_type/1[java.lang.String],DB_URL,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/SalesDAO.java,sales.SalesDAO,getSalesByPostCode/1[java.lang.String],DB_URL,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/SalesDAO.java,sales.SalesDAO,getAllSales/0,DB_URL,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/HomeSale.java,sales.HomeSale,"HomeSale/4[java.lang.String,java.lang.String,int,java.lang.String]",saleID,3
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/HomeSale.java,sales.HomeSale,"HomeSale/4[java.lang.String,java.lang.String,int,java.lang.String]",salePrice,3
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/HomeSale.java,sales.HomeSale,"HomeSale/4[java.lang.String,java.lang.String,int,java.lang.String]",postcode,3
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/HomeSale.java,sales.HomeSale,"HomeSale/4[java.lang.String,java.lang.String,int,java.lang.String]",id,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/HomeSale.java,sales.HomeSale,"HomeSale/4[java.lang.String,java.lang.String,int,java.lang.String]",area_type,3
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/HomeSale.java,sales.HomeSale,HomeSale/0,id,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/HomeSale.java,sales.HomeSale,getSalePrice/0,salePrice,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/HomeSale.java,sales.HomeSale,setPostcode/1[java.lang.String],postcode,3
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/HomeSale.java,sales.HomeSale,setId/1[sales.ObjectId],id,3
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/HomeSale.java,sales.HomeSale,setSaleID/1[java.lang.String],saleID,3
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/HomeSale.java,sales.HomeSale,setarea_type/1[java.lang.String],area_type,3
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/HomeSale.java,sales.HomeSale,getSaleID/0,saleID,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/HomeSale.java,sales.HomeSale,getId/0,id,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/HomeSale.java,sales.HomeSale,getarea_type/0,area_type,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/HomeSale.java,sales.HomeSale,getPostcode/0,postcode,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/HomeSale.java,sales.HomeSale,setSalePrice/1[int],salePrice,3
